comment,tokenized_comment,comment_without_stopword,stopword,translated_tokenized_comment,translated_comment_without_stopword,translated_stopword,pos_tagged_tokenized_comment,pos_tagged_comment_without_stopword,pos_tagged_stopword
অদেখা জিনিসে ত ওর  নাইএইটা কেমনে করলো,"['অদেখা', 'জিনিসে', 'ত', 'ওর', 'নাইএইটা', 'কেমনে', 'করলো']","['অদেখা', 'জিনিসে', 'ত', 'নাইএইটা', 'কেমনে', 'করলো']",['ওর'],"['Unseen', 'In things', 'So', 'Her', 'Nayaita', 'Howly', 'See']","['Unseen', 'In things', 'So', 'Nayaita', 'Howly', 'See']",['Her'],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",['PRP$']
সেই রকম কবিতা,"['সেই', 'রকম', 'কবিতা']","['রকম', 'কবিতা']",['সেই'],"['That', 'Kind', 'Poem']","['Kind', 'Poem']",['That'],"['DT', 'NNP', 'NNP']","['NNP', 'NNP']",['DT']
খুব মহৎ কাজ,"['খুব', 'মহৎ', 'কাজ']","['মহৎ', 'কাজ']",['খুব'],"['Very', 'Great', 'Work']","['Great', 'Work']",['Very'],"['RB', 'NNP', 'NN']","['NNP', 'NN']",['RB']
থাকবো ইনশাআল্লাহ,"['থাকবো', 'ইনশাআল্লাহ']","['থাকবো', 'ইনশাআল্লাহ']",[],"['Stay', 'Insha Allah']","['Stay', 'Insha Allah']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
ঈদ মুবারক,"['ঈদ', 'মুবারক']","['ঈদ', 'মুবারক']",[],"['Eid', 'Mubarak']","['Eid', 'Mubarak']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
আপনা‌র  জন‌্য ভালবাসা,"['আপনা', 'র', 'জন', '্য', 'ভালবাসা']","['আপনা', 'র', 'জন', '্য', 'ভালবাসা']",[],"['Own', 'R', 'Man', 'Compliant', 'Love']","['Own', 'R', 'Man', 'Compliant', 'Love']",[],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP']",[]
ম্যাডাম আপনি তো ক্লোজআপ হাসি দিচ্ছেন।,"['ম্যাডাম', 'আপনি', 'তো', 'ক্লোজআপ', 'হাসি', 'দিচ্ছেন']","['ম্যাডাম', 'তো', 'ক্লোজআপ', 'হাসি', 'দিচ্ছেন']",['আপনি'],"['Madam', 'You', 'There', 'Closeup', 'Laugh', 'Donation']","['Madam', 'There', 'Closeup', 'Laugh', 'Donation']",['You'],"['NNP', 'PRP', 'EX', 'NNP', 'NNP', 'NNP']","['NNP', 'EX', 'NNP', 'NNP', 'NNP']",['PRP']
অসাধারন,['অসাধারন'],['অসাধারন'],[],['Awesome'],['Awesome'],[],['NNP'],['NNP'],[]
আল্লাহ নেক হেদায়েত দান করুন,"['আল্লাহ', 'নেক', 'হেদায়েত', 'দান', 'করুন']","['আল্লাহ', 'নেক', 'হেদায়েত', 'দান', 'করুন']",[],"['Allah', 'Good', 'Guidance', 'Donation', 'Do']","['Allah', 'Good', 'Guidance', 'Donation', 'Do']",[],"['RB', 'JJ', 'NNP', 'NNP', 'NNP']","['RB', 'JJ', 'NNP', 'NNP', 'NNP']",[]
কাফফারার টাকা কি এখানে দেয়া যাবে,"['কাফফারার', 'টাকা', 'কি', 'এখানে', 'দেয়া', 'যাবে']","['কাফফারার', 'টাকা', 'এখানে', 'দেয়া', 'যাবে']",['কি'],"['Expiation', 'Money', 'What', 'Here', 'Give', 'Go']","['Expiation', 'Money', 'Here', 'Give', 'Go']",['What'],"['NNP', 'NNP', 'WP', 'RB', 'VBP', 'VB']","['NNP', 'NNP', 'RB', 'VBP', 'VB']",['WP']
ভালোবাসা ,['ভালোবাসা'],['ভালোবাসা'],[],['Love'],['Love'],[],['VB'],['VB'],[]
পরের সিরিজ কবে কোথায় ,"['পরের', 'সিরিজ', 'কবে', 'কোথায়']","['পরের', 'সিরিজ', 'কবে']",['কোথায়'],"['Next', 'Series', 'When', 'Where']","['Next', 'Series', 'When']",['Where'],"['JJ', 'NN', 'WRB', 'NNP']","['JJ', 'NN', 'WRB']",['WRB']
বাংলাই বলতে পারে না,"['বাংলাই', 'বলতে', 'পারে', 'না']","['বাংলাই', 'পারে', 'না']",['বলতে'],"['Bengali', 'To say', 'Unable', 'Not']","['Bengali', 'Unable', 'Not']",['To say'],"['NNP', 'NNP', 'NNP', 'RB']","['NNP', 'NNP', 'RB']",['NN']
আল্লাহ আপনার ভালো করুক,"['আল্লাহ', 'আপনার', 'ভালো', 'করুক']","['আল্লাহ', 'আপনার', 'করুক']",['ভালো'],"['Allah', 'Yours', 'Good', 'Do']","['Allah', 'Yours', 'Do']",['Good'],"['NNP', 'NNP', 'NNP', 'VBP']","['NNP', 'NNP', 'VBP']",['JJ']
দেখা শেষ।,"['দেখা', 'শেষ']","['দেখা', 'শেষ']",[],"['See', 'End']","['See', 'End']",[],"['VB', 'NN']","['VB', 'NN']",[]
আল্লাহুআকবার,['আল্লাহুআকবার'],['আল্লাহুআকবার'],[],['God'],['God'],[],['NNP'],['NNP'],[]
সাব্বাস! ভন্ডামি বাদ দিয়ে সত্য কথা বলেছেন।,"['সাব্বাস', 'ভন্ডামি', 'বাদ', 'দিয়ে', 'সত্য', 'কথা', 'বলেছেন']","['সাব্বাস', 'ভন্ডামি', 'বাদ', 'দিয়ে', 'সত্য', 'বলেছেন']",['কথা'],"['Bolt', 'Hypocrisy', 'Exclusion', 'With', 'True', 'Talk', 'Says']","['Bolt', 'Hypocrisy', 'Exclusion', 'With', 'True', 'Says']",['Talk'],"['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'IN', 'NNP', 'NNP']",['NN']
গালির সোদনে অতঃপর ক্ষমা চাহিল মেকাপ সুন্দরী।,"['গালির', 'সোদনে', 'অতঃপর', 'ক্ষমা', 'চাহিল', 'মেকাপ', 'সুন্দরী']","['গালির', 'সোদনে', 'ক্ষমা', 'চাহিল', 'সুন্দরী']","['অতঃপর', 'মেকাপ']","['Abusive', 'At all', 'Therefore', 'Forgiveness', 'Desire', 'Makeup', 'Beautiful']","['Abusive', 'At all', 'Forgiveness', 'Desire', 'Beautiful']","['Therefore', 'Makeup']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP']","['RB', 'NNP']"
দ্য লিজেন্ড অনন্ত ভাই ,"['দ্য', 'লিজেন্ড', 'অনন্ত', 'ভাই']","['দ্য', 'লিজেন্ড', 'অনন্ত']",['ভাই'],"['The', 'Legend', 'Eternal', 'Brother']","['The', 'Legend', 'Eternal']",['Brother'],"['DT', 'NNP', 'NNP', 'NNP']","['DT', 'NNP', 'NNP']",['NN']
শোকাহত। শ্রদ্ধা। আত্মার শান্তি কামনা করছি।,"['শোকাহত', 'শ্রদ্ধা', 'আত্মার', 'শান্তি', 'কামনা', 'করছি']","['শোকাহত', 'শ্রদ্ধা', 'আত্মার', 'শান্তি', 'কামনা', 'করছি']",[],"['Mournful', 'Respect', 'Soul', 'Peace', 'Desire', 'Doing']","['Mournful', 'Respect', 'Soul', 'Peace', 'Desire', 'Doing']",[],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'NNP']",[]
এতকিছু বলা হইলো দামটা বললে না,"['এতকিছু', 'বলা', 'হইলো', 'দামটা', 'বললে', 'না']","['এতকিছু', 'বলা', 'হইলো', 'দামটা', 'বললে']",['না'],"['So much', 'Tell', 'Squeeze', 'Price', 'Say', 'Not']","['So much', 'Tell', 'Squeeze', 'Price', 'Say']",['Not'],"['JJ', 'NNP', 'NNP', 'NNP', 'NNP', 'RB']","['JJ', 'NNP', 'NNP', 'NNP', 'NNP']",['RB']
সত্যি আপনি অনেক ভালো মানুষ,"['সত্যি', 'আপনি', 'অনেক', 'ভালো', 'মানুষ']","['আপনি', 'ভালো', 'মানুষ']","['সত্যি', 'অনেক']","['True', 'You', 'Many', 'Good', 'Man']","['You', 'Good', 'Man']","['True', 'Many']","['NNP', 'PRP', 'VBP', 'JJ', 'NN']","['PRP', 'JJ', 'NN']","['CD', 'JJ']"
সারাকেই ভাললাগতেছে।,"['সারাকেই', 'ভাললাগতেছে']","['সারাকেই', 'ভাললাগতেছে']",[],"['All -time', 'Good']","['All -time', 'Good']",[],"['RB', 'JJ']","['RB', 'JJ']",[]
ভালোবাসা অবিরাম প্রিয় ম্যাশ,"['ভালোবাসা', 'অবিরাম', 'প্রিয়', 'ম্যাশ']","['ভালোবাসা', 'অবিরাম', 'প্রিয়', 'ম্যাশ']",[],"['Love', 'Endless', 'Beloved', 'Mash']","['Love', 'Endless', 'Beloved', 'Mash']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
কমেন্ত পরে আমি ত শিহরিত,"['কমেন্ত', 'পরে', 'আমি', 'ত', 'শিহরিত']","['কমেন্ত', 'ত', 'শিহরিত']","['পরে', 'আমি']","['Commercial', 'After', 'I', 'So', 'Thrilled']","['Commercial', 'So', 'Thrilled']","['After', 'I']","['JJ', 'IN', 'PRP', 'RB', 'VBD']","['NNP', 'NNP', 'VBD']","['IN', 'PRP']"
বাবার মতোই ।,"['বাবার', 'মতোই']","['বাবার', 'মতোই']",[],"['Father', 'Like']","['Father', 'Like']",[],"['NNP', 'IN']","['NNP', 'IN']",[]
জানালা দিয়ে উকি দেয়ার পর!!       ,"['জানালা', 'দিয়ে', 'উকি', 'দেয়ার', 'পর']","['জানালা', 'দিয়ে', 'উকি', 'দেয়ার', 'পর']",[],"['Window', 'With', 'Camouflage', 'Give', 'After']","['Window', 'With', 'Camouflage', 'Give', 'After']",[],"['NN', 'IN', 'NNP', 'NNP', 'IN']","['NN', 'IN', 'NNP', 'NNP', 'IN']",[]
মাস্ক কোথায় ,"['মাস্ক', 'কোথায়']","['মাস্ক', 'কোথায়']",[],"['Mask', 'Where']","['Mask', 'Where']",[],"['NNP', 'WRB']","['NNP', 'WRB']",[]
দিন্দাডের খবর কি বস,"['দিন্দাডের', 'খবর', 'কি', 'বস']","['দিন্দাডের', 'খবর', 'কি']",['বস'],"['Daydress', 'News', 'What', 'Camouflage']","['Daydress', 'News', 'What']",['Camouflage'],"['NNP', 'NNP', 'WP', 'NN']","['NNP', 'NNP', 'WP']",['NN']
এনশাল্লাহহহ,['এনশাল্লাহহহ'],['এনশাল্লাহহহ'],[],['Ensallahuhhhhhhhhhhhhhhhhhhhh'],['Ensallahuhhhhhhhhhhhhhhhhhhhh'],[],['NN'],['NN'],[]
গুড ,['গুড'],['গুড'],[],['Good'],['Good'],[],['JJ'],['JJ'],[]
রোজা আছেন্নি আপু,"['রোজা', 'আছেন্নি', 'আপু']","['রোজা', 'আছেন্নি', 'আপু']",[],"['Fasting', 'Ninnie', 'Apocalyptic']","['Fasting', 'Ninnie', 'Apocalyptic']",[],"['VBG', 'NNP', 'NNP']","['VBG', 'NNP', 'NNP']",[]
আপু আসসালামুয়াইলাকুম,"['আপু', 'আসসালামুয়াইলাকুম']","['আপু', 'আসসালামুয়াইলাকুম']",[],"['Apocalyptic', 'Assalamuilacum']","['Apocalyptic', 'Assalamuilacum']",[],"['JJ', 'NNP']","['JJ', 'NNP']",[]
আপা আরেকটা অডি গাড়ি কবে লইবেন,"['আপা', 'আরেকটা', 'অডি', 'গাড়ি', 'কবে', 'লইবেন']","['আরেকটা', 'অডি', 'গাড়ি', 'কবে', 'লইবেন']",['আপা'],"['Apa', 'Another', 'Audience', 'Car', 'When', 'Lane']","['Another', 'Audience', 'Car', 'When', 'Lane']",['Apa'],"['NNP', 'DT', 'NNP', 'NN', 'WRB', 'NNP']","['DT', 'NN', 'NN', 'WRB', 'NNP']",['NN']
সুভানাল্লাহ!,['সুভানাল্লাহ'],['সুভানাল্লাহ'],[],['Subhanallah'],['Subhanallah'],[],['NN'],['NN'],[]
কি সুন্দর নয় ছয় বক্তব্য,"['কি', 'সুন্দর', 'নয়', 'ছয়', 'বক্তব্য']","['নয়', 'ছয়', 'বক্তব্য']","['কি', 'সুন্দর']","['What', 'Beautiful', 'Nine', 'Six', 'Speech']","['Nine', 'Six', 'Speech']","['What', 'Beautiful']","['WP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP']","['WP', 'NNP']"
কয় শর্ট দিছো,"['কয়', 'শর্ট', 'দিছো']","['কয়', 'শর্ট', 'দিছো']",[],"['Many', 'Short', 'Doing']","['Many', 'Short', 'Doing']",[],"['JJ', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP']",[]
মাশারাফির প্রিয় রং সাদা,"['মাশারাফির', 'প্রিয়', 'রং', 'সাদা']","['মাশারাফির', 'প্রিয়', 'রং', 'সাদা']",[],"['Masharafir', 'Beloved', 'Color', 'White']","['Masharafir', 'Beloved', 'Color', 'White']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
আল্লাহ আপনার ভালো করবেন,"['আল্লাহ', 'আপনার', 'ভালো', 'করবেন']","['আল্লাহ', 'আপনার', 'ভালো', 'করবেন']",[],"['Allah', 'Yours', 'Good', 'Do']","['Allah', 'Yours', 'Good', 'Do']",[],"['NNP', 'NNP', 'NNP', 'VBP']","['NNP', 'NNP', 'NNP', 'VBP']",[]
ভাই আপনিও ভালো থাকুন। ,"['ভাই', 'আপনিও', 'ভালো', 'থাকুন']","['আপনিও', 'ভালো', 'থাকুন']",['ভাই'],"['Brother', 'You too', 'Good', 'Stay']","['You too', 'Good', 'Stay']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP']","['RB', 'JJ', 'NN']",['NN']
ওরা তো সাংবাদিক না ওরা সাংঘাতিক।,"['ওরা', 'তো', 'সাংবাদিক', 'না', 'ওরা', 'সাংঘাতিক']","['ওরা', 'সাংবাদিক', 'না', 'ওরা', 'সাংঘাতিক']",['তো'],"['Them', 'There', 'Journalist', 'Not', 'Them', 'Deadly']","['Them', 'Journalist', 'Not', 'Them', 'Deadly']",['There'],"['NNP', 'EX', 'NNP', 'RB', 'NNP', 'NNP']","['NNP', 'NNP', 'RB', 'NNP', 'NNP']",['EX']
এমন পিক তুলার পর ফটোগ্রাফার ঠিক ছিলো,"['এমন', 'পিক', 'তুলার', 'পর', 'ফটোগ্রাফার', 'ঠিক', 'ছিলো']","['পিক', 'তুলার', 'পর', 'ফটোগ্রাফার', 'ঠিক', 'ছিলো']",['এমন'],"['Such', 'Peak', 'Cotton', 'After', 'Photographer', 'Right', 'Was']","['Peak', 'Cotton', 'After', 'Photographer', 'Right', 'Was']",['Such'],"['JJ', 'NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'IN', 'NNP', 'NNP', 'NNP']",['JJ']
ও তেরি,"['ও', 'তেরি']",[],"['ও', 'তেরি']","['O', 'Thirty']",[],"['O', 'Thirty']","['NNP', 'NNP']",[],"['NNP', 'NNP']"
মানুষ বাঁচলে দেশ বাঁচবে,"['মানুষ', 'বাঁচলে', 'দেশ', 'বাঁচবে']","['মানুষ', 'বাঁচলে', 'দেশ', 'বাঁচবে']",[],"['Man', 'Alive', 'Country', 'Live']","['Man', 'Alive', 'Country', 'Live']",[],"['NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",[]
পুরোনো নাটক।। ,"['পুরোনো', 'নাটক']","['পুরোনো', 'নাটক']",[],"['Old', 'Play']","['Old', 'Play']",[],"['NNP', 'NNP']","['NNP', 'NNP']",[]
ভাই চাঁদ কোন দিকে উঠে,"['ভাই', 'চাঁদ', 'কোন', 'দিকে', 'উঠে']","['চাঁদ', 'কোন', 'দিকে', 'উঠে']",['ভাই'],"['Brother', 'Moon', 'Any', 'Toward', 'Up']","['Moon', 'Any', 'Toward', 'Up']",['Brother'],"['NNP', 'NNP', 'NNP', 'NNP', 'NNP']","['NNP', 'NNP', 'NNP', 'NNP']",['NN']
লাল সালাম নেতা! ,"['লাল', 'সালাম', 'নেতা']","['লাল', 'সালাম', 'নেতা']",[],"['Reddish', 'Salute', 'Leader']","['Reddish', 'Salute', 'Leader']",[],"['JJ', 'NNP', 'NNP']","['JJ', 'NNP', 'NNP']",[]
